dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0070 -2.7098 7.3529 1.3379 0.3988 2.7680 1.2098 -0.2329 0.3990 2.3980
0.0070 -2.7052 7.3717 1.3315 0.3988 2.7641 1.2052 -0.2393 0.3990 2.3980
0.0070 -2.7005 7.3904 1.3252 0.3988 2.7601 1.2005 -0.2456 0.3990 2.3980
0.0070 -2.6957 7.4091 1.3188 0.3988 2.7560 1.1957 -0.2520 0.3990 2.3980
0.0070 -2.6908 7.4277 1.3125 0.3988 2.7519 1.1908 -0.2583 0.3990 2.3980
0.0070 -2.6857 7.4463 1.3061 0.3988 2.7477 1.1857 -0.2646 0.3990 2.3980
0.0070 -2.6806 7.4648 1.2998 0.3988 2.7434 1.1806 -0.2710 0.3990 2.3980
0.0070 -2.6753 7.4832 1.2935 0.3988 2.7390 1.1753 -0.2773 0.3990 2.3980
0.0070 -2.6700 7.5016 1.2872 0.3988 2.7346 1.1700 -0.2836 0.3990 2.3980
0.0070 -2.6645 7.5199 1.2809 0.3988 2.7301 1.1645 -0.2899 0.3990 2.3980
0.0070 -2.6589 7.5381 1.2746 0.3988 2.7255 1.1589 -0.2962 0.3990 2.3980
0.0070 -2.6533 7.5563 1.2684 0.3988 2.7209 1.1533 -0.3024 0.3990 2.3980
0.0070 -2.6475 7.5744 1.2621 0.3988 2.7162 1.1475 -0.3087 0.3990 2.3980
0.0070 -2.6416 7.5925 1.2559 0.3988 2.7115 1.1416 -0.3149 0.3990 2.3980
0.0070 -2.6356 7.6105 1.2496 0.3988 2.7068 1.1356 -0.3212 0.3990 2.3980
0.0070 -2.6296 7.6284 1.2434 0.3988 2.7020 1.1296 -0.3274 0.3990 2.3980
0.0070 -2.6234 7.6462 1.2372 0.3988 2.6971 1.1234 -0.3336 0.3990 2.3980
0.0070 -2.6171 7.6640 1.2310 0.3988 2.6922 1.1171 -0.3398 0.3990 2.3980
0.0070 -2.6107 7.6817 1.2248 0.3988 2.6873 1.1107 -0.3460 0.3990 2.3980
0.0070 -2.6042 7.6993 1.2186 0.3988 2.6823 1.1042 -0.3522 0.3990 2.3980
0.0070 -2.5977 7.7169 1.2124 0.3988 2.6773 1.0977 -0.3584 0.3990 2.3980
0.0070 -2.5910 7.7343 1.2063 0.3988 2.6723 1.0910 -0.3645 0.3990 2.3980
0.0070 -2.5842 7.7517 1.2001 0.3988 2.6672 1.0842 -0.3707 0.3990 2.3980
0.0070 -2.5774 7.7691 1.1940 0.3988 2.6621 1.0774 -0.3768 0.3990 2.3980
0.0070 -2.5704 7.7863 1.1879 0.3988 2.6570 1.0704 -0.3829 0.3990 2.3980
0.0070 -2.5634 7.8035 1.1818 0.3988 2.6518 1.0634 -0.3890 0.3990 2.3980
0.0070 -2.5562 7.8206 1.1757 0.3988 2.6467 1.0562 -0.3951 0.3990 2.3980
0.0070 -2.5490 7.8376 1.1696 0.3988 2.6415 1.0490 -0.4012 0.3990 2.3980
0.0070 -2.5417 7.8546 1.1635 0.3988 2.6363 1.0417 -0.4073 0.3990 2.3980
0.0070 -2.5343 7.8714 1.1574 0.3988 2.6311 1.0343 -0.4134 0.3990 2.3980
0.0070 -2.5268 7.8882 1.1514 0.3988 2.6258 1.0268 -0.4194 0.3990 2.3980
0.0070 -2.5193 7.9049 1.1453 0.3988 2.6206 1.0193 -0.4255 0.3990 2.3980
0.0070 -2.5116 7.9215 1.1393 0.3988 2.6154 1.0116 -0.4315 0.3990 2.3980
0.0070 -2.5039 7.9381 1.1333 0.3988 2.6101 1.0039 -0.4375 0.3990 2.3980
0.0070 -2.4960 7.9546 1.1273 0.3988 2.6049 0.9960 -0.4435 0.3990 2.3980
0.0070 -2.4881 7.9710 1.1213 0.3988 2.5996 0.9881 -0.4495 0.3990 2.3980
0.0070 -2.4801 7.9873 1.1153 0.3988 2.5944 0.9801 -0.4555 0.3990 2.3980
0.0070 -2.4721 8.0035 1.1093 0.3988 2.5891 0.9721 -0.4614 0.3990 2.3980
0.0070 -2.4639 8.0196 1.1034 0.3988 2.5839 0.9639 -0.4674 0.3990 2.3980
0.0070 -2.4557 8.0357 1.0975 0.3988 2.5787 0.9557 -0.4733 0.3990 2.3980
0.0070 -2.4474 8.0517 1.0915 0.3988 2.5734 0.9474 -0.4793 0.3990 2.3980
0.0070 -2.4390 8.0676 1.0856 0.3988 2.5682 0.9390 -0.4852 0.3990 2.3980
0.0070 -2.4305 8.0834 1.0797 0.3988 2.5630 0.9305 -0.4911 0.3990 2.3980
0.0070 -2.4220 8.0992 1.0738 0.3988 2.5578 0.9220 -0.4970 0.3990 2.3980
0.0070 -2.4134 8.1148 1.0679 0.3988 2.5526 0.9134 -0.5029 0.3990 2.3980
0.0070 -2.4047 8.1304 1.0620 0.3988 2.5475 0.9047 -0.5088 0.3990 2.3980
0.0070 -2.3960 8.1459 1.0562 0.3988 2.5424 0.8960 -0.5146 0.3990 2.3980
0.0070 -2.3871 8.1613 1.0503 0.3988 2.5372 0.8871 -0.5205 0.3990 2.3980
0.0070 -2.3782 8.1766 1.0445 0.3988 2.5321 0.8782 -0.5263 0.3990 2.3980
